StartDate,FacilityLongName,numvisits,year,week,month,month.year
2009-05-28,Lions Gate Hospital,125,2009,21,05,05-09
2009-05-29,Lions Gate Hospital,132,2009,21,05,05-09
2009-05-30,Lions Gate Hospital,144,2009,21,05,05-09
2009-05-31,Lions Gate Hospital,174,2009,22,05,05-09
2009-06-01,Lions Gate Hospital,160,2009,22,06,06-09
2009-06-02,Lions Gate Hospital,134,2009,22,06,06-09
2009-06-03,Lions Gate Hospital,136,2009,22,06,06-09
2009-06-04,Lions Gate Hospital,117,2009,22,06,06-09
2009-06-05,Lions Gate Hospital,134,2009,22,06,06-09
2009-06-06,Lions Gate Hospital,138,2009,22,06,06-09
2009-06-07,Lions Gate Hospital,164,2009,23,06,06-09
2009-06-08,Lions Gate Hospital,137,2009,23,06,06-09
2009-06-09,Lions Gate Hospital,141,2009,23,06,06-09
2009-06-10,Lions Gate Hospital,145,2009,23,06,06-09
2009-06-11,Lions Gate Hospital,124,2009,23,06,06-09
2009-06-12,Lions Gate Hospital,142,2009,23,06,06-09
2009-06-13,Lions Gate Hospital,123,2009,23,06,06-09
2009-06-14,Lions Gate Hospital,154,2009,24,06,06-09
2009-06-15,Lions Gate Hospital,147,2009,24,06,06-09
2009-06-16,Lions Gate Hospital,111,2009,24,06,06-09
2009-06-17,Lions Gate Hospital,116,2009,24,06,06-09
2009-06-18,Lions Gate Hospital,131,2009,24,06,06-09
2009-06-19,Lions Gate Hospital,129,2009,24,06,06-09
2009-06-20,Lions Gate Hospital,139,2009,24,06,06-09
2009-06-21,Lions Gate Hospital,124,2009,25,06,06-09
2009-06-22,Lions Gate Hospital,111,2009,25,06,06-09
2009-06-23,Lions Gate Hospital,118,2009,25,06,06-09
2009-06-24,Lions Gate Hospital,125,2009,25,06,06-09
2009-06-25,Lions Gate Hospital,128,2009,25,06,06-09
2009-06-26,Lions Gate Hospital,134,2009,25,06,06-09
2009-06-27,Lions Gate Hospital,125,2009,25,06,06-09
2009-06-28,Lions Gate Hospital,134,2009,26,06,06-09
2009-06-29,Lions Gate Hospital,152,2009,26,06,06-09
2009-06-30,Lions Gate Hospital,133,2009,26,06,06-09
2009-07-01,Lions Gate Hospital,150,2009,26,07,07-09
2009-07-02,Lions Gate Hospital,151,2009,26,07,07-09
2009-07-03,Lions Gate Hospital,153,2009,26,07,07-09
2009-07-04,Lions Gate Hospital,154,2009,26,07,07-09
2009-07-05,Lions Gate Hospital,160,2009,27,07,07-09
2009-07-06,Lions Gate Hospital,141,2009,27,07,07-09
2009-07-07,Lions Gate Hospital,113,2009,27,07,07-09
2009-07-08,Lions Gate Hospital,123,2009,27,07,07-09
